COUNTRY,CAPITAL_CITY,ISO_ALPHA3,ISO_NUMERIC_M49,AIRPORT_CODE,REGION
Afghanistan,Kabul,AFG,4,KBL,Middle East
Albania,Tirana,ALB,8,TIA,Europe
Algeria,Algiers,DZA,12,ALG,North Africa
Andorra,Andorra la Vella,AND,20,LEU,Europe
Angola,Luanda,AGO,24,LAD,Sub-Saharan Africa
Antigua and Barbuda,Saint John's,ATG,28,YSJ,Caribbean
Argentina,Buenos Aires,ARG,32,BAI,South America
Armenia,Yerevan,ARM,51,EVN,Middle East
Australia,Canberra,AUS,36,CBR,Oceania
Austria,Vienna,AUT,40,VIE,Europe
Azerbaijan,Baku,AZE,31,IXL,Middle East
Bahrain,Manama,BHR,48,BAH,Middle East
Bangladesh,Dhaka,BGD,50,DAC,South & South East Asia
Barbados,Bridgetown,BRB,52,BGI,Caribbean
Belarus,Minsk,BLR,112,MHP,North Asia
Belgium,Brussels,BEL,56,CRL,Europe
Belize,Belmopan,BLZ,84,BCV,Central America
Benin,Porto,BEN,204,BPS,Sub-Saharan Africa
Bhutan,Thimphu,BTN,64,PBH,South & South East Asia
Bolivia,La Paz,BOL,68,LPB,South America
Bosnia and Herzegovina,Sarajevo,BIH,70,SJJ,Europe
Botswana,Gaborone,BWA,72,GBE,Sub-Saharan Africa
Brazil,Brasilia,BRA,76,BSB,South America
Brunei,Bandar Seri Begawan,BRN,96,BWN,South & South East Asia
Bulgaria,Sofia,BGR,100,SOF,Europe
Burkina Faso,Ouagadougou,BFA,854,OUA,Sub-Saharan Africa
Burundi,Bujumbura,BDI,108,BJM,Sub-Saharan Africa
Cambodia,Phnom Penh,KHM,116,PNH,South & South East Asia
Cameroon,Yaounde,CMR,120,YAO,Sub-Saharan Africa
Canada,Ottawa,CAN,124,YOW,North America
Cape Verde,Praia,CPV,132,MZB,Sub-Saharan Africa
Central African Republic,Bangui,CAF,140,BGF,Sub-Saharan Africa
Chad,N'Djamena,TCD,148,NDJ,Sub-Saharan Africa
Chile,Santiago,CHL,152,SCQ,South America
China,Beijing,CHN,156,PEK,East Asia
Colombia,Bogota,COL,170,BOG,South America
Comoros,Moroni,COM,174,YVA,Sub-Saharan Africa
"Congo, Democratic Republic of the",Kinshasa,COD,180,FIH,Sub-Saharan Africa
"Congo, Republic of the",Brazzaville,COG,178,BZV,Sub-Saharan Africa
Costa Rica,San Jose,CRI,188,SJC,Central America
Cote d'Ivoire,Abidjan,CIV,384,ABJ,Sub-Saharan Africa
Croatia,Zagreb,HRV,191,ZAG,Europe
Cuba,Havana,CUB,192,HAV,Caribbean
Cyprus,Nicosia,CYP,196,,Middle East
Czech Republic,Prague,CZE,203,PRG,Europe
Denmark,Copenhagen,DNK,208,ZGH,Europe
Djibouti,Djibouti,DJI,262,JIB,Sub-Saharan Africa
Dominica,Roseau,DMA,212,ROX,Caribbean
Dominican Republic,Santo Domingo,DOM,214,SDQ,Caribbean
East Timor,Dili,TLS,626,DIL,South & South East Asia
Ecuador,Quito,ECU,218,UIO,South America
Egypt,Cairo,EGY,818,CAI,North Africa
El Salvador,San Salvador,SLV,222,ZSA,Central America
Equatorial Guinea,Malabo,GNQ,226,SSG,Sub-Saharan Africa
